submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
12/23/2020,MP,118,118,0,2,0,2,2,0,0,0,12/24/2020 02:31:20 PM,Agree,Agree
06/09/2020,DE,"10,056","9,111",945,36,-1,413,389,24,3,0,06/10/2020 08:56:25 PM,Agree,Agree
10/12/2020,WA,"93,862",,,0,0,"2,190",,,0,0,10/13/2020 01:29:38 PM,N/A,N/A
05/20/2020,VI,69,,,0,0,6,,,0,0,05/21/2020 03:41:38 PM,,
08/20/2020,MO,"71,733",,,"1,058",0,"1,417",,,3,0,08/21/2020 02:27:34 PM,Not agree,Not agree
01/08/2021,PR,"82,630","77,280","5,350",563,9,"1,616","1,342",274,24,5,01/09/2021 03:26:08 PM,Agree,Agree
04/25/2020,OR,"2,253","2,253",0,76,0,87,87,0,1,0,05/25/2020 03:38:40 PM,Agree,Agree
08/15/2020,DE,"16,451","15,448","1,003",55,-1,593,524,69,0,0,08/16/2020 02:57:14 PM,Agree,Agree
04/11/2020,VA,"5,077",,,568,,130,,,9,,04/10/2020 04:22:39 PM,Agree,Agree
02/14/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
10/27/2020,PA,"198,446","189,649","8,797","2,751",278,"8,696",,,23,4,10/28/2020 01:52:28 PM,Agree,Not agree
03/03/2020,PR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
02/04/2021,VI,"2,440",,,0,0,24,,,0,0,02/05/2021 02:54:41 PM,,
07/17/2020,WY,"2,069","1,678",391,43,9,24,24,0,0,0,07/18/2020 04:14:26 PM,Agree,Agree
01/04/2021,CA,"2,420,894",,,"29,633",0,"26,635",,,97,0,01/05/2021 03:00:42 PM,Not agree,Not agree
06/07/2020,MO,"14,553",,,111,0,809,,,0,0,06/08/2020 02:55:08 PM,Not agree,Not agree
05/14/2020,RMI,0,0,0,0,0,0,0,0,0,0,05/15/2020 04:11:22 PM,Agree,Agree
02/13/2020,AR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
11/05/2020,IA,"141,373",,,"4,851",754,"1,802",,,15,0,11/06/2020 03:33:41 PM,Not agree,Not agree
12/06/2020,PA,"420,114","388,436","31,678","8,630",387,"11,331",,,69,52,12/07/2020 02:38:33 PM,Agree,Not agree
01/31/2020,VI,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
10/10/2020,DC,"15,981",,,138,0,636,,,2,0,10/11/2020 01:47:22 PM,,
09/29/2020,NE,"45,044",,,466,0,478,,,6,0,09/30/2020 02:17:41 PM,Not agree,Not agree
01/15/2021,TX,"2,072,903",,,"27,204","5,214","31,450",,,400,0,01/16/2021 02:46:10 PM,Not agree,Not agree
01/27/2020,CA,2,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
06/04/2020,MI,"58,241","58,241",0,206,0,"5,585","5,585",0,15,0,06/05/2020 03:17:07 PM,Agree,Agree
