STATE,TIME,MR,PD,HDI,GINI,BEDS,PR,SR,AT,MA,T60,T90,T120
Iowa,30,0.0016919393455706304,56.9284,0.928,0.427,3,0.1129,0.171,47.8,38.1,0,0,0
Iowa,60,0.010726256983240224,56.9284,0.928,0.427,3,0.1129,0.171,47.8,38.1,1,0,0
Iowa,90,0.020814046288906624,56.9284,0.928,0.427,3,0.1129,0.171,47.8,38.1,0,1,0
Iowa,120,0.024166001596169193,56.9284,0.928,0.427,3,0.1129,0.171,47.8,38.1,0,0,1
Kansas,30,0.0029221873087686245,35.5968,0.922,0.445,3.3,0.1204,0.174,54.3,36.5,0,0,0
Kansas,60,0.0068069774957198554,35.5968,0.922,0.445,3.3,0.1204,0.174,54.3,36.5,1,0,0
Kansas,90,0.008491532532539415,35.5968,0.922,0.445,3.3,0.1204,0.174,54.3,36.5,0,1,0
Kansas,120,0.010519874311567048,35.5968,0.922,0.445,3.3,0.1204,0.174,54.3,36.5,0,0,1
Kentucky,30,0.0025899734246205126,113.9566,0.881,0.466,3.2,0.1739,0.24600000000000002,55.6,38.7,0,0,0
Kentucky,60,0.007387054637178505,113.9566,0.881,0.466,3.2,0.1739,0.24600000000000002,55.6,38.7,1,0,0
Kentucky,90,0.011238232512049006,113.9566,0.881,0.466,3.2,0.1739,0.24600000000000002,55.6,38.7,0,1,0
Kentucky,120,0.014166028557272196,113.9566,0.881,0.466,3.2,0.1739,0.24600000000000002,55.6,38.7,0,0,1
Louisiana,30,0.018011759105587503,107.5174,0.885,0.475,3.3,0.1884,0.231,66.4,36.6,0,0,0
Louisiana,60,0.050325712643826036,107.5174,0.885,0.475,3.3,0.1884,0.231,66.4,36.6,1,0,0
Louisiana,90,0.06404895767665461,107.5174,0.885,0.475,3.3,0.1884,0.231,66.4,36.6,0,1,0
Louisiana,120,0.07296906694799318,107.5174,0.885,0.475,3.3,0.1884,0.231,66.4,36.6,0,0,1
Maine,30,0.0020257951245864,43.6336,0.914,0.437,2.5,0.1214,0.17300000000000001,41,44.6,0,0,0
Maine,60,0.0052520614341128894,43.6336,0.914,0.437,2.5,0.1214,0.17300000000000001,41,44.6,1,0,0
Maine,90,0.0075779743549343115,43.6336,0.914,0.437,2.5,0.1214,0.17300000000000001,41,44.6,0,1,0
Maine,120,0.008553357192698135,43.6336,0.914,0.437,2.5,0.1214,0.17300000000000001,41,44.6,0,0,1
Maryland,30,0.004364164545660488,626.6735,0.935,0.443,1.9,0.0922,0.138,54.2,38.6,0,0,0
Maryland,60,0.030132723904961155,626.6735,0.935,0.443,1.9,0.0922,0.138,54.2,38.6,1,0,0
Maryland,90,0.048305638100822196,626.6735,0.935,0.443,1.9,0.0922,0.138,54.2,38.6,0,1,0
Maryland,120,0.055284969950561674,626.6735,0.935,0.443,1.9,0.0922,0.138,54.2,38.6,0,0,1
Massachusetts,30,0.00529999897513832,894.4359,0.956,0.475,2.3,0.104,0.13699999999999998,47.9,39.4,0,0,0
Massachusetts,60,0.06797761116455033,894.4359,0.956,0.475,2.3,0.104,0.13699999999999998,47.9,39.4,1,0,0
Massachusetts,90,0.10671738267895915,894.4359,0.956,0.475,2.3,0.104,0.13699999999999998,47.9,39.4,0,1,0
Massachusetts,120,0.12002594364139213,894.4359,0.956,0.475,2.3,0.104,0.13699999999999998,47.9,39.4,0,0,1
Michigan,30,0.01678133746556612,177.665,0.912,0.451,2.5,0.1463,0.193,44.4,39.7,0,0,0
Michigan,60,0.049379914014475536,177.665,0.912,0.451,2.5,0.1463,0.193,44.4,39.7,1,0,0
Michigan,90,0.060155721974111946,177.665,0.912,0.451,2.5,0.1463,0.193,44.4,39.7,0,1,0
Michigan,120,0.06340955401411401,177.665,0.912,0.451,2.5,0.1463,0.193,44.4,39.7,0,0,1
Minnesota,30,0.0012664273721993864,71.5922,0.947,0.44,2.5,0.099,0.145,41.2,37.9,0,0,0
Minnesota,60,0.011542580906617264,71.5922,0.947,0.44,2.5,0.099,0.145,41.2,37.9,1,0,0
Minnesota,90,0.02360982458171713,71.5922,0.947,0.44,2.5,0.099,0.145,41.2,37.9,0,1,0
Minnesota,120,0.0278614021883865,71.5922,0.947,0.44,2.5,0.099,0.145,41.2,37.9,0,0,1
Mississippi,30,0.004316171254968615,63.7056,0.863,0.468,4,0.2007,0.222,63.4,37.2,0,0,0
Mississippi,60,0.017063932868480573,63.7056,0.863,0.468,4,0.2007,0.222,63.4,37.2,1,0,0
Mississippi,90,0.029945529249588456,63.7056,0.863,0.468,4,0.2007,0.222,63.4,37.2,0,1,0
Mississippi,120,0.043161712549686156,63.7056,0.863,0.468,4,0.2007,0.222,63.4,37.2,0,0,1
Missouri,30,0.003234779296098889,89.7453,0.905,0.455,3.1,0.1376,0.20800000000000002,54.6,38.5,0,0,0
Missouri,60,0.01003274187774833,89.7453,0.905,0.455,3.1,0.1376,0.20800000000000002,54.6,38.5,1,0,0
Missouri,90,0.014925961320578121,89.7453,0.905,0.455,3.1,0.1376,0.20800000000000002,54.6,38.5,0,1,0
Missouri,120,0.01847272440665609,89.7453,0.905,0.455,3.1,0.1376,0.20800000000000002,54.6,38.5,0,0,1
Montana,30,9.599416355485586e-4,7.4668,0.917,0.435,3.3,0.1335,0.172,42.7,39.8,0,0,0
Montana,60,0.001535906616877694,7.4668,0.917,0.435,3.3,0.1335,0.172,42.7,39.8,1,0,0
Montana,90,0.0019198832710971172,7.4668,0.917,0.435,3.3,0.1335,0.172,42.7,39.8,0,1,0
Montana,120,0.003551784051529667,7.4668,0.917,0.435,3.3,0.1335,0.172,42.7,39.8,0,0,1
Nebraska,30,0.0011025011025011025,25.4161,0.934,0.432,3.6,0.1122,0.154,48.8,36.4,0,0,0
Nebraska,60,0.006457506457506457,25.4161,0.934,0.432,3.6,0.1122,0.154,48.8,36.4,1,0,0
Nebraska,90,0.011550011550011549,25.4161,0.934,0.432,3.6,0.1122,0.154,48.8,36.4,0,1,0
Nebraska,120,0.015277515277515278,25.4161,0.934,0.432,3.6,0.1122,0.154,48.8,36.4,0,0,1
Nevada,30,0.0039003027866637016,28.5993,0.902,0.448,2.1,0.1346,0.17600000000000002,49.9,37.9,0,0,0
Nevada,60,0.011324563354260396,28.5993,0.902,0.448,2.1,0.1346,0.17600000000000002,49.9,37.9,1,0,0
Nevada,90,0.015772277058350583,28.5993,0.902,0.448,2.1,0.1346,0.17600000000000002,49.9,37.9,0,1,0
Nevada,120,0.02028841712711908,28.5993,0.902,0.448,2.1,0.1346,0.17600000000000002,49.9,37.9,0,0,1
New Hampshire,30,0.0025304773671127254,153.161,0.943,0.425,2.1,0.0762,0.157,43.8,42.7,0,0,0
New Hampshire,60,0.012726812640478707,153.161,0.943,0.425,2.1,0.0762,0.157,43.8,42.7,1,0,0
New Hampshire,90,0.023816257572825652,153.161,0.943,0.425,2.1,0.0762,0.157,43.8,42.7,0,1,0
New Hampshire,120,0.02932376713654158,153.161,0.943,0.425,2.1,0.0762,0.157,43.8,42.7,0,0,1
New Jersey,30,0.02502859767795862,1215.1985,0.943,0.464,2.4,0.1018,0.13699999999999998,52.7,39.8,0,0,0
New Jersey,60,0.11985129207461517,1215.1985,0.943,0.464,2.4,0.1018,0.13699999999999998,52.7,39.8,1,0,0
New Jersey,90,0.1593025769435162,1215.1985,0.943,0.464,2.4,0.1018,0.13699999999999998,52.7,39.8,0,1,0
