State,state,TIME,MR,PD,GINI,BEDS,SR,HDI,LE,PR,T90,T180
Maryland,MD,90,0.04737283957197873,626.6735,0.443,1.9,0.138,0.935,79.1,0.0922,1,0
Maryland,MD,180,0.063413642844769,626.6735,0.443,1.9,0.138,0.935,79.1,0.0922,0,1
Maine,ME,30,0.0015005889811751112,43.6336,0.437,2.5,0.17300000000000001,0.914,78.7,0.1214,0,0
Maine,ME,90,0.007502944905875555,43.6336,0.437,2.5,0.17300000000000001,0.914,78.7,0.1214,1,0
Maine,ME,180,0.010128975622932001,43.6336,0.437,2.5,0.17300000000000001,0.914,78.7,0.1214,0,1
Michigan,MI,30,0.014933482232972365,177.665,0.451,2.5,0.193,0.912,78,0.1463,0,0
Michigan,MI,90,0.060105508516704514,177.665,0.451,2.5,0.193,0.912,78,0.1463,1,0
Michigan,MI,180,0.06916401623300651,177.665,0.451,2.5,0.193,0.912,78,0.1463,0,1
Minnesota,MN,30,0.0012121519133908411,71.5922,0.44,2.5,0.145,0.947,80.9,0.099,0,0
Minnesota,MN,90,0.023157529091645923,71.5922,0.44,2.5,0.145,0.947,80.9,0.099,1,0
Minnesota,MN,180,0.03475438545707173,71.5922,0.44,2.5,0.145,0.947,80.9,0.099,0,1
Missouri,MO,30,0.0024958703198326455,89.7453,0.455,3.1,0.20800000000000002,0.905,77.3,0.1376,0,0
Missouri,MO,90,0.01444977553587321,89.7453,0.455,3.1,0.20800000000000002,0.905,77.3,0.1376,1,0
Missouri,MO,180,0.027996440100754343,89.7453,0.455,3.1,0.20800000000000002,0.905,77.3,0.1376,0,1
Mississippi,MS,30,0.004081960411675745,63.7056,0.468,4,0.222,0.863,74.9,0.2007,0,0
Mississippi,MS,90,0.02974477709819457,63.7056,0.468,4,0.222,0.863,74.9,0.2007,1,0
Mississippi,MS,180,0.08983658774876538,63.7056,0.468,4,0.222,0.863,74.9,0.2007,0,1
Montana,MT,30,7.67953308438847e-4,7.4668,0.435,3.3,0.172,0.917,78.8,0.1335,0,0
Montana,MT,90,0.0018238891075422613,7.4668,0.435,3.3,0.172,0.917,78.8,0.1335,1,0
Montana,MT,180,0.012959212079905542,7.4668,0.435,3.3,0.172,0.917,78.8,0.1335,0,1
North Carolina,NC,30,7.877427232265942e-4,218.271,0.464,2.1,0.172,0.905,78,0.1501,0,0
North Carolina,NC,90,0.010368663594470046,218.271,0.464,2.1,0.172,0.905,78,0.1501,1,0
North Carolina,NC,180,0.02864429477332703,218.271,0.464,2.1,0.172,0.905,78,0.1501,0,1
North Dakota,ND,30,0.0011964887044819139,11.0393,0.433,4.3,0.183,0.942,79.9,0.1054,0,0
North Dakota,ND,90,0.00983779601462907,11.0393,0.433,4.3,0.183,0.942,79.9,0.1054,1,0
North Dakota,ND,180,0.023530944521477637,11.0393,0.433,4.3,0.183,0.942,79.9,0.1054,0,1
Nebraska,NE,30,8.925008925008925e-4,25.4161,0.432,3.6,0.154,0.934,79.6,0.1122,0,0
Nebraska,NE,90,0.010237510237510239,25.4161,0.432,3.6,0.154,0.934,79.6,0.1122,1,0
Nebraska,NE,180,0.021315021315021315,25.4161,0.432,3.6,0.154,0.934,79.6,0.1122,0,1
New Hampshire,NH,30,0.002009496732707164,153.161,0.425,2.1,0.157,0.943,79.5,0.0762,0,0
New Hampshire,NH,90,0.023667405962995488,153.161,0.425,2.1,0.157,0.943,79.5,0.0762,1,0
New Hampshire,NH,180,0.03230079933314479,153.161,0.425,2.1,0.157,0.943,79.5,0.0762,0,1
New Jersey,NJ,30,0.019140178161281895,1215.1985,0.464,2.4,0.13699999999999998,0.943,80.4,0.1018,0,0
New Jersey,NJ,90,0.13751655062464535,1215.1985,0.464,2.4,0.13699999999999998,0.943,80.4,0.1018,1,0
